Key,Median,IQR
perf_time,0.0058823529411764705,0.001643217991199957
perf_branches,0.007272727272727273,0.01755514705882353
perf_branch_misses,0.011842105263157895,0.003505506437102528
perf_cycles,0.0125,0.022134742221761802
perf_cache_misses,0.016713091922005572,0.015913200723327303
perf_instructions,0.020202020202020204,0.05299199325747998
perf_cpu_clock,0.025380710659898477,0.0190633642551715
perf_faults,0.03225806451612903,0.05490294709433069
perf_cache_references,0.04395604395604396,0.16238044151644732
time,0.05333333333333334,0.07483312863779569
energy,0.08771929824561403,0.04119318181818182
perf_L1_dcache_loads,0.17989417989417988,0.3952698635634029
weights,0.2,0.19373219373219375
perf_task_clock,0.3854748603351955,0.28565249629263467
